N,count,dim,lower,max,mean,median,min,n_jobs,number,repeat,test,upper
100,3,20,1.1314897639676929,1.1373202451504767,1.1337127370449405,1.1323282020166516,1.1314897639676929,4,1,3,no,1.1373202451504767
1000,3,20,2.577616408932954,2.732909632846713,2.6681645625891783,2.6939676459878683,2.577616408932954,1,1,3,joblib,2.732909632846713
1000,3,20,1.494887440931052,1.6108424728736281,1.557061453660329,1.5654544471763074,1.494887440931052,1,1,3,memory,1.6108424728736281
1000,3,20,2.0146083259023726,2.457770795095712,2.203678732893119,2.138657077681273,2.0146083259023726,1,1,3,no,2.457770795095712
1000,3,20,2.736605843063444,2.7857413976453245,2.762458097189665,2.765027050860226,2.736605843063444,2,1,3,joblib,2.7857413976453245
1000,3,20,1.5393985048867762,1.717693175189197,1.6243010770219068,1.615811550989747,1.5393985048867762,2,1,3,memory,1.717693175189197
1000,3,20,1.7853013309650123,2.3440682752989233,2.046943688765168,2.011461460031569,1.7853013309650123,2,1,3,no,2.3440682752989233
1000,3,20,2.5529871182516217,2.813063805922866,2.711632901802659,2.7688477812334895,2.5529871182516217,3,1,3,joblib,2.813063805922866
1000,3,20,1.5825996533967555,1.8023836608044803,1.6587539336954553,1.5912784868851304,1.5825996533967555,3,1,3,memory,1.8023836608044803
1000,3,20,2.074515583924949,2.123251653276384,2.091120794725915,2.0755951469764113,2.074515583924949,3,1,3,no,2.123251653276384
1000,3,20,2.531044981442392,2.750714829657227,2.630472376011312,2.6096573169343174,2.531044981442392,4,1,3,joblib,2.750714829657227
1000,3,20,1.5289590009488165,1.649055321700871,1.6013047474746902,1.6258999197743833,1.5289590009488165,4,1,3,memory,1.649055321700871
1000,3,20,1.9144623219035566,2.028949578758329,1.9818397018437584,2.0021072048693895,1.9144623219035566,4,1,3,no,2.028949578758329
10000,3,20,10.358240008819848,11.207737037912011,10.66001990220199,10.414082659874111,10.358240008819848,1,1,3,joblib,11.207737037912011
10000,3,20,9.347904556896538,9.729493923019618,9.484316184651107,9.375550074037164,9.347904556896538,1,1,3,memory,9.729493923019618
10000,3,20,10.015455038752407,10.774753449019045,10.491132544819266,10.683189146686345,10.015455038752407,1,1,3,no,10.774753449019045
10000,3,20,10.734048078302294,11.613247589673847,11.063069861071805,10.841913915239275,10.734048078302294,2,1,3,joblib,11.613247589673847
10000,3,20,9.17797586787492,9.812763576861471,9.532990285971513,9.608231413178146,9.17797586787492,2,1,3,memory,9.812763576861471
10000,3,20,10.09788351599127,12.123551260214299,11.138429519720376,11.193853782955557,10.09788351599127,2,1,3,no,12.123551260214299
10000,3,20,11.103948849719018,11.426183824427426,11.221854129030058,11.135429712943733,11.103948849719018,3,1,3,joblib,11.426183824427426
10000,3,20,9.757750377058983,10.270970848854631,10.037303429252157,10.083189061842859,9.757750377058983,3,1,3,memory,10.270970848854631
10000,3,20,11.524904388934374,14.281511211767793,12.878434188043078,12.828886963427067,11.524904388934374,3,1,3,no,14.281511211767793
10000,3,20,11.795281579252332,12.26711300201714,12.061189834804585,12.121174923144281,11.795281579252332,4,1,3,joblib,12.26711300201714
10000,3,20,10.611752993892878,11.062466305214912,10.869340703977892,10.933802812825888,10.611752993892878,4,1,3,memory,11.062466305214912
10000,3,20,12.494559430051595,13.69949363404885,13.053293966998657,12.965828836895525,12.494559430051595,4,1,3,no,13.69949363404885
