N,dim,fit_intercept,lib,max,max3,mean,median,method,min,min3,repeat
10,20,False,skl,0.00011682297918014228,0.00011029400047846138,9.375542198540643e-05,9.228650014847517e-05,predict_proba,8.949602488428354e-05,8.982300641946495e-05,100
10,20,False,ort,5.3301017032936215e-05,4.5572989620268345e-05,3.504826949210838e-05,3.408000338822603e-05,predict,3.2822019420564175e-05,3.295199712738395e-05,100
10,20,False,ort,6.610300624743104e-05,5.72569842915982e-05,4.757158778375015e-05,4.6850997023284435e-05,predict_proba,4.545398405753076e-05,4.555002669803798e-05,100
1,50,True,skl,0.00014729300164617598,9.227002738043666e-05,7.516166020650417e-05,7.309600186999887e-05,predict,7.242400897666812e-05,7.264601299539208e-05,100
1,50,True,skl,0.00013253200449980795,0.00011090599582530558,9.10706611466594e-05,8.908199379220605e-05,predict_proba,8.823600364848971e-05,8.869002340361476e-05,100
1,50,True,ort,8.353800512850285e-05,3.685499541461468e-05,3.207375732017681e-05,3.12744959956035e-05,predict,3.097101580351591e-05,3.101601032540202e-05,100
1,50,True,ort,4.459099727682769e-05,4.214199725538492e-05,3.3620658796280624e-05,3.322448174003512e-05,predict_proba,3.295598435215652e-05,3.298799856565893e-05,100
10,50,True,skl,9.678001515567303e-05,9.174400474876165e-05,7.511696196161211e-05,7.404001371469349e-05,predict,7.34229979570955e-05,7.361499592661858e-05,100
10,50,True,skl,0.00014343499788083136,0.00013201500405557454,9.668468119343743e-05,9.515050624031574e-05,predict_proba,8.948400500230491e-05,8.975702803581953e-05,100
10,50,True,ort,7.407501107081771e-05,4.6828004997223616e-05,3.812870068941265e-05,3.692999598570168e-05,predict,3.6604993510991335e-05,3.664800897240639e-05,100
10,50,True,ort,7.470199489034712e-05,6.763401324860752e-05,5.046223930548877e-05,4.9359005060978234e-05,predict_proba,4.760301089845598e-05,4.780301242135465e-05,100
1,50,False,skl,0.00016155801131390035,9.395900997333229e-05,7.926220074295998e-05,7.737150008324534e-05,predict,7.480199565179646e-05,7.497399928979576e-05,100
1,50,False,skl,0.00011426399578340352,0.00010629199096001685,9.193649748340249e-05,9.02934989426285e-05,predict_proba,8.859197259880602e-05,8.88319918885827e-05,100
1,50,False,ort,8.853600593283772e-05,4.697602707892656e-05,3.2966460566967725e-05,3.131449921056628e-05,predict,3.094499697908759e-05,3.107401425950229e-05,100
1,50,False,ort,5.452800542116165e-05,4.353898111730814e-05,3.419679735088721e-05,3.3176998840644956e-05,predict_proba,3.292300971224904e-05,3.298101364634931e-05,100
10,50,False,skl,0.00011737598106265068,0.00010451400885358453,7.719931949395686e-05,7.429999823216349e-05,predict,7.35249777790159e-05,7.364898920059204e-05,100
10,50,False,skl,0.00011394801549613476,0.00010807800572365522,9.22730696038343e-05,9.006098844110966e-05,predict_proba,8.924800204113126e-05,8.947699097916484e-05,100
10,50,False,ort,6.101100007072091e-05,5.403801333159208e-05,3.743448876775801e-05,3.5607488825917244e-05,predict,3.532200935296714e-05,3.539602039381862e-05,100
10,50,False,ort,6.537302397191525e-05,5.764301749877632e-05,4.9059871817007664e-05,4.8116009566001594e-05,predict_proba,4.7747016651555896e-05,4.790601087734103e-05,100
1,100,True,skl,0.00015682700905017555,0.00010339199798181653,7.786572037730365e-05,7.515148899983615e-05,predict,7.284202729351819e-05,7.29799794498831e-05,100
1,100,True,skl,0.00011480497778393328,0.00011105599696747959,9.421677037607879e-05,9.199049964081496e-05,predict_proba,9.124100324697793e-05,9.141597547568381e-05,100
1,100,True,ort,0.0001087309792637825,4.302797606214881e-05,3.37994089932181e-05,3.223599924240261e-05,predict,3.193298471160233e-05,3.197399200871587e-05,100
1,100,True,ort,5.047800368629396e-05,4.470098065212369e-05,3.530228015733883e-05,3.434999962337315e-05,predict_proba,3.408500924706459e-05,3.412098158150911e-05,100
